STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
137,真剣な,しんけんな,Nghiêm túc,企業の真剣な投資と献身がはっきりと見て取れます。彼らは製品を紹介するだけでなく、歴史の一部を再現し、ベトナムの革新と統合、自立、そして自立のプロセスを示すことを望んでいます,"Chúng tôi nhìn thấy rõ sự đầu tư nghiêm túc, tâm huyết của các doanh nghiệp. Họ không chỉ muốn giới thiệu sản phẩm mà còn mong muốn tái hiện một phần lịch sử, minh chứng cho quá trình đổi mới và hội nhập, tự lực, tự cường của Việt Nam",https://www.vietnam.vn/ja/ton-vinh-vai-tro-kinh-te-nhan-tai-khu-trung-bay-khoi-nghiep-kien-quoc,https://doanhnghiepvn.vn/doanh-nghiep-doanh-nhan/ton-vinh-vai-tro-kinh-te-tu-nhan-tai-khu-trung-bay-khoi-nghiep-kien-quoc/20250826093004017,,
138,真摯な,しんしな,"Chân thành, nghiêm túc",一つ一つの支援策、一つ一つの優遇融資、一つ一つの税の免除・減額・猶予政策、勤労者向け住宅賃貸支援などは、国民を理解し国民のために行動する政府の真摯な共有です。,"Trong từng gói hỗ trợ, từng khoản vay ưu đãi, từng chính sách miễn, giảm, giãn thuế hay hỗ trợ tiền thuê nhà cho người lao động là sự sẻ chia chân thành của một Chính phủ thấu hiểu và hành động vì dân. ",https://www.vietnam.vn/ja/tang-toc-dua-viet-nam-vao-nhom-30-nen-kinh-te-hang-dau,https://tuoitre.vn/tang-toc-dua-viet-nam-vao-nhom-30-nen-kinh-te-hang-dau-20251014001733131.htm#content-2,,
139,身近な,みぢかな,"Gần gũi, quen thuộc",ベトナム企業は、身近な製品からイノベーションを起こし、ブランドを構築し、国際市場における地位を確立する方法を学んできました。ますます深まるグローバル化とデジタル化の文脈において、Eコマースはもはや補助的な販売チャネルではなく、ベトナムの経済発展と輸出戦略の中核を成すものとなっています。,"Từ những sản phẩm vô cùng quen thuộc, các doanh nghiệp Việt đã biết cách làm mới, xây dựng thương hiệu và khẳng định chỗ đứng trên thị trường quốc tế. Trong bối cảnh toàn cầu hóa và số hóa ngày càng sâu rộng, thương mại điện tử không còn là kênh bán hàng phụ trợ, mà đã trở thành một phần cốt lõi trong chiến lược phát triển kinh tế và xuất khẩu của Việt Nam.",https://www.vietnam.vn/ja/hang-viet-chinh-phuc-the-gioi-qua-thuong-mai-dien-tu,https://hanoimoi.vn/hang-viet-chinh-phuc-the-gioi-qua-thuong-mai-dien-tu-719334.html,,
140,通常な,つうじょうな,"Bình thường, thường xuyên",人材育成分野では、政府は10万人のAIエンジニア育成を目指し、ハイテク時代の要求に応える教育訓練改革を推進しています。行政手続き改革を通じた党議拘束決議の迅速な具体化、数千件に及ぶ不適切な規制の撤廃、通常支出の削減、教育、社会保障、先端技術への投資増加は、知識基盤経済の構築に向けた強い決意を示しています。,"Trong lĩnh vực nhân lực, Chính phủ đặt mục tiêu đào tạo 100.000 kỹ sư AI, đồng thời đẩy mạnh cải cách giáo dục và đào tạo để đáp ứng yêu cầu của kỷ nguyên công nghệ cao. Việc cụ thể hóa kịp thời các Nghị quyết của Đảng thông qua cải cách thủ tục hành chính, loại bỏ hàng nghìn quy định bất cập, giảm chi thường xuyên và tăng đầu tư cho giáo dục, an sinh xã hội, công nghệ mũi nhọn cho thấy quyết tâm mạnh mẽ trong việc xây dựng nền kinh tế tri thức.",https://www.vietnam.vn/ja/tu-nen-tang-vung-chac-den-khat-vong-tang-truong-kinh-te-toan-dien-va-tu-tin,https://baochinhphu.vn/tu-nen-tang-vung-chac-den-khat-vong-tang-truong-kinh-te-toan-dien-va-tu-tin-102251020194732353.htm,,
141,過度な,かどな,"Quá mức, quá đà",「財政政策と金融政策の効果的な実施をより適切に連携させることで、金融手段への過度な圧力を回避し、マクロ経済と金融の安定を確保することができます。長期的には、包括的な規制改革によって、気候変動への耐性確保、民間セクターの競争力促進、国有企業の効率性向上、税制の近代化、デジタルトランスフォーメーションといった構造的な課題に対処する必要があります。これらは、よりバランスの取れた成長モデルを実現するための重要な要素です」とシャンタヌ・チャクラボルティ氏は述べた。,"Sự phối hợp tốt hơn giữa thực thi hiệu quả chính sách tài khóa và tiền tệ sẽ giúp tránh gây áp lực quá mức lên các công cụ tiền tệ và bảo đảm ổn định kinh tế tài chính vĩ mô. Trong dài hạn, các cải cách pháp lý toàn diện cần phải giải quyết những thách thức mang tính cấu trúc, như đảm bảo khả năng thích ứng biến đổi khí hậu, thúc đẩy năng lực cạnh tranh của khu vực tư nhân, nâng cao hiệu quả của doanh nghiệp nhà nước, hiện đại hóa hệ thống thuế và chuyển đổi số. Đây là những yếu tố then chốt cho một mô hình tăng trưởng cân bằng hơn",https://www.vietnam.vn/ja/vi-sao-chuyen-gia-trong-nuoc-van-tin-tang-truong-kinh-te-tren-8,https://baodautu.vn/vi-sao-chuyen-gia-trong-nuoc-van-tin-tang-truong-kinh-te-tren-8-d397770.html,,
142,違法な,いほうな,"Bất hợp pháp,  bất chính",当局は収集した証拠を通じて、FWDベトナムが競争法の規定に従って他の事業者の顧客を誘致するために自社の事業、製品、サービスについて誤解を招く情報を提供し、違法に顧客を誘致していたことを明確に述べた。 ,"qua chứng cứ thu thập được, cơ quan chức năng nêu rõ FWD Việt Nam đã thực hiện hành vi lôi kéo khách hàng bất chính bằng hình thức đưa thông tin gây nhầm lẫn về doanh nghiệp, sản phẩm, dịch vụ nhằm thu hút khách hàng của doanh nghiệp khác theo quy định tại Luật Cạnh tranh.",https://www.vietnam.vn/ja/mot-cong-ty-bao-hiem-nhan-tho-bi-phat-200-trieu-dong,https://nld.com.vn/mot-cong-ty-bao-hiem-nhan-tho-bi-phat-200-trieu-dong-196250204115646777.htm,,
143,適時な,てきじな,"Đúng lúc, kịp thời",2025年以降の残された期間において、省は予算収入を重要課題と位置付け、歳出課題に対応するための歳入増加策を継続的に同時進行で実施する。歳入の正確、十分、かつ適時な徴収を確保する。生産・経営発展を基盤として、税・手数料収入源を拡大し、土地使用料をはじめとする持続不可能な歳入源の割合を段階的に削減する。税債権の徴収執行を強化し、税収の喪失を防止する。,"Thời gian còn lại trong năm 2025 và những năm tiếp theo, tỉnh xác định thu ngân sách là nhiệm vụ trọng tâm, tiếp tục triển khai đồng bộ các giải pháp tăng thu nhằm đáp ứng các nhiệm vụ chi; bảo đảm thu đúng, đủ, kịp thời các khoản thu, mở rộng nguồn thu từ thuế, phí trên cơ sở phát triển sản xuất, kinh doanh, giảm dần tỉ trọng nguồn thu không bền vững, nhất là thu tiền sử dụng đất. ",https://www.vietnam.vn/ja/bao-dam-nguon-thu-ngan-sach-nha-nuoc-phuc-vu-phat-trien-kinh-te-xa-hoi,https://baohungyen.vn/bao-dam-nguon-thu-ngan-sach-nha-nuoc-phuc-vu-phat-trien-kinh-te-xa-hoi-3185541.html,,
144,適正な,てきせいな,"Thích hợp, hợp lý",行政改革、説明責任の強化、地方自治、そして政府レベル間の連携強化は、ビジネス環境の改善と国家統治の強化に役立つだろう。世界銀行はまた、ベトナムが適正な報酬と、独立した透明性のある監視メカニズムに支えられた効果的な公務員制度を構築する必要があると強調した。,"cải cách hành chính, tăng cường trách nhiệm giải trình, trao quyền tự chủ cho địa phương và nâng cao hiệu quả phối hợp giữa các cấp chính quyền sẽ giúp cải thiện môi trường kinh doanh và nâng cao hiệu quả quản trị quốc gia. WB cũng nhấn mạnh Việt Nam cần xây dựng một bộ máy công vụ hiệu quả, được đãi ngộ hợp lý và hậu thuẫn bởi cơ chế giám sát độc lập, minh bạch.",https://www.vietnam.vn/ja/kinh-te-viet-nam-qua-goc-nhin-quoc-te-cu-hich-de-vuot-bay-thu-nhap-trung-binh,https://doanhnghiepvn.vn/kinh-te/kinh-te-viet-nam-qua-goc-nhin-quoc-te-cu-hich-de-vuot-bay-thu-nhap-trung-binh/20250530103241581,,
145,適法な,てきほうな,hợp pháp,首相は次のように強調した。「政府はいかなる状況においても企業の合法的かつ適法な権利と利益を常に伴走し保護することに尽力しています。経済関係を犯罪化せず、サブライセンスを調査して廃止し、嫌がらせや不便を生み出し、企業のコンプライアンス費用を増大させる環境を排除し、困難や障害に耳を傾け、共有し、手を携えて共に困難や課題を克服し、特に企業が法律に従って円滑に運営され、生産と経営に安心を感じ、国全体の発展に貢献できるような制度を構築し、整備することに尽力しています。」,"Thủ tướng nhấn mạnh: Chính phủ cam kết luôn đồng hành, bảo vệ quyền và lợi ích hợp pháp, chính đáng của doanh nghiệp trong bất cứ hoàn cảnh nào; không hình sự hóa các quan hệ kinh tế; nghiên cứu, bãi bỏ các giấy phép con, xóa bỏ môi trường tạo sách nhiễu, phiền hà, làm tăng chi phí tuân thủ cho doanh nghiệp; luôn lắng nghe, chia sẻ với các khó khăn, vướng mắc và chung tay cùng tháo gỡ để cùng nhau vượt qua khó khăn, thách thức, đặc biệt là trong việc xây dựng và hoàn thiện thể chế để doanh nghiệp hoạt động thuận lợi theo pháp luật, yên tâm sản xuất, kinh doanh, đóng góp vào sự phát triển chung của đất nước.",https://www.vietnam.vn/ja/thao-go-cho-doanh-nghiep-la-thao-go-cho-nen-kinh-te,https://kinhtedothi.vn/thu-tuong-thao-go-cho-doanh-nghiep-la-thao-go-cho-nen-kinh-te.html,,
146,金銭的な,きんせんてきな,"Tiền tệ, tài chính",ジャーナリストのドゥオン・ゴック・チン氏にとって、お金は肉体の健康と同じようなものです。健康になるにはトレーニングが必要であり、運や非現実的な夢に任せることはできません。インタビューの中で、彼女はベトナム人がしばしば犯す金銭的な過ちを率直に指摘し、同時に真の豊かさを築く方法を明らかにしました。,"Với nhà báo Dương Ngọc Trinh, đồng tiền cũng như thể chất: muốn khỏe mạnh phải được rèn luyện, không thể phó mặc vào may rủi hay những mơ mộng viển vông. Trong cuộc trò chuyện, chị thẳng thắn chỉ ra những sai lầm tài chính dễ mắc phải của người Việt, đồng thời hé lộ cách xây dựng sự thịnh vượng đích thực.",https://www.vietnam.vn/ja/khoan-ban-ve-su-giau-co-dong-tien-cua-ban-co-dang-khoe-manh-khong,https://vtv.vn/khoan-ban-ve-su-giau-co-dong-tien-cua-ban-co-dang-khoe-manh-khong-100251017094734435.htm,,
147,鮮明な,せんめいな,"Rõ ràng, minh bạch",注目すべきは、著者らが1990年代初頭の重要な制度的節目であり、近代的な金融市場の構築に必要な一歩を踏み出した二層銀行システムの形成を綿密に分析している点である。著者らは、FDIの役割、2000年以降の株式市場の発展、そして統合プロセスにおける経済の鮮明な兆候である不動産、金、米ドルの「熱狂」を分析することに多くの紙面を割いている。,"Điểm đáng chú ý là các tác giả đã phân tích kỹ về sự hình thành hệ thống ngân hàng hai cấp, một cột mốc thể chế lớn vào đầu thập niên 1990, đánh dấu bước đi cần thiết để xây dựng thị trường tài chính hiện đại. Các tác giả đã dành nhiều dung lượng để phân tích vai trò của FDI, sự phát triển của thị trường chứng khoán từ năm 2000 và những “cơn sốt” bất động sản, vàng, USD, những biểu hiện sinh động của nền kinh tế trong quá trình hội nhập.",https://www.vietnam.vn/ja/kinh-te-viet-nam-thang-tram-va-dot-pha-goc-nhin-xuyen-suot-mot-hanh-trinh-doi-moi,https://hanoimoi.vn/kinh-te-viet-nam-thang-tram-va-dot-pha-goc-nhin-xuyen-suot-mot-hanh-trinh-doi-moi-708453.html,,
148,大変な,たいへんな,"Vô cùng, rất (trong lời cảm ơn, xin lỗi)",フォンさんは創業当時を振り返り、「昔、家族は大変な苦労をしました。農民協会が事業資金を貸してくれました。最初は豚と魚を育て、その後、収入を得るために少しずつ森林を植えました。豚インフルエンザの流行後、ヤギと鶏の飼育に戻り、今では経済効果をもたらしています…」と語りました。彼女の真摯な話は、聞く者に、彼女の揺らぎながらも揺るぎない歩みを理解させます。,"Nhớ lại những ngày đầu, chị Phượng chia sẻ: ""Trước kia, gia đình tôi khó khăn lắm. Được Hội Nông dân cho vay vốn để làm ăn, đầu tiên tôi nuôi lợn, cá, rồi trồng rừng, mỗi thứ một ít để có thu nhập. Sau đợt dịch lợn, tôi quay lại nuôi dê, gà thì bây giờ chăn nuôi đem lại kết quả kinh tế...”. Sự chân chất trong lời kể của chị càng làm người nghe thấu hiểu những bước đi chập chững nhưng đầy quyết tâm ấy. ",https://www.vietnam.vn/ja/hoi-vien-nong-dan-vu-thi-phuong-lam-kinh-te-gioi,https://baolaocai.vn/hoi-vien-nong-dan-vu-thi-phuong-lam-kinh-te-gioi-post405594.html,,
